GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},16,0,0,0,5,0,3,0,3,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Login,1436,0,20,0,266,0,24,0,14,0
MARVSupportApp,view,Dashboard.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},16,0,0,0,5,0,3,0,3,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},16,0,0,0,5,0,3,0,3,0
MARVSupportApp,view,NewTicket,724,0,10,0,130,0,19,0,14,0
MARVSupportApp,view,InfoTicket,1399,0,12,0,241,0,22,0,14,0
MARVSupportApp,view,Dashboard.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},16,0,0,0,5,0,3,0,3,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},16,0,0,0,5,0,3,0,3,0
MARVSupportApp,view,InfoTicket.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,InfoTicket.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},16,0,0,0,5,0,3,0,3,0
MARVSupportApp,view,InfoTicket.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,Dashboard.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,InfoTicket.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,InfoTicket.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Dashboard.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Login.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Login.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,NewTicket.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Dashboard,2431,0,11,0,421,0,42,0,36,0
MARVSupportApp,view,Login.new WindowAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,NewTicket.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,Login.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,NewTicket.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,Login.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,NewTicket.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,Login.new MouseAdapter() {...},21,0,0,0,7,0,4,0,4,0
MARVSupportApp,view,TicketsView,1698,0,21,0,226,0,26,0,12,0
MARVSupportApp,view,TicketsView.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,TicketsView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,TicketsView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,TicketsView.new DefaultTableCellRenderer() {...},61,0,6,0,11,0,5,0,2,0
MARVSupportApp,view,TicketsView.new DefaultTableModel() {...},33,0,0,0,3,0,2,0,2,0
MARVSupportApp,view,HomeView,1875,0,24,0,341,0,20,0,8,0
MARVSupportApp,controller,TicketConnections,238,85,4,4,67,21,8,4,5,3
MARVSupportApp,controller,UserConnections,123,58,3,1,36,17,5,3,3,3
MARVSupportApp,utils,HoverEffect,30,0,0,0,7,0,4,0,4,0
MARVSupportApp,utils,CurrentDate,38,0,0,0,10,0,3,0,3,0
MARVSupportApp,model,Email,103,0,2,0,34,0,10,0,9,0
MARVSupportApp,model,User,21,17,0,0,9,7,6,5,6,5
MARVSupportApp,model,Ticket,27,49,0,0,11,21,8,8,8,8
MARVSupportApp,modal,Sucess,77,285,4,0,20,62,5,2,3,2
MARVSupportApp,modal,Sucess.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
MARVSupportApp,modal,Sucess.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
MARVSupportApp,modal,Logout.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,modal,Logout.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
MARVSupportApp,modal,Logout.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MARVSupportApp,modal,Fail.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
MARVSupportApp,modal,Fail,77,297,4,0,20,64,5,2,3,2
MARVSupportApp,modal,Fail.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
MARVSupportApp,modal,Logout,440,0,4,0,90,0,7,0,5,0
MARVSupportApp,db,DbConnection,33,22,3,1,13,7,4,2,2,2
